genomic_element	P_value_Enrichment	P_value_Depletion	Real_vs_simulated_ratio
2	coding	0	1	2.61045105280016
3	cpgIsland	0	1	6.83947460188306
4	exons	0	1	2.4673462983585
6	intergenic	1	0	0.796258832598176
7	introns	0	1	1.17048902110427
9	ncRNA	0.564	0.436	0.957526444263629
10	promoters	0	1	2.30932848322405
11	protein-coding	0	1	2.50242845687772
17	tts	0	1	1.68453726305638
18	utr3	0	1	1.49613506916192
19	utr5	0	1	3.78377385233208
