genomic_element	P_value_Enrichment	P_value_Depletion	Real_vs_simulated_ratio
2	coding	0	1	1.46452652065385
3	cpgIsland	0	1	1.91956726493973
4	exons	0	1	1.47782353087093
6	intergenic	1	0	0.710119120426575
7	introns	0	1	1.32923755873405
9	ncRNA	0.124	0.876	1.29415986571743
10	promoters	0	1	2.56027292319949
11	protein-coding	0	1	1.48788241515842
17	tts	0	1	1.41272811852195
18	utr3	0	1	1.46352360347846
19	utr5	0	1	1.71500508520825
